aByteArrayArrayArray134[0] dimensions: 105x105
First row: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1th row: [0, 0, 0, 0, 0, 0, 0, 0, 26, 26, 0, 26, 26, 26, 0, 0, 0, 0, 0, 0, 0, 0, 26, 26, 26, 26, 0, 0, 0, 0, 0, 26, 26, 26, 26, 26, 26, 18, 18, 0, 0, 0, 30, 30, 30, 26, 26, 26, 0, 18, 18, 0, 26, 26, 26, 0, 18, 26, 26, 26, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 16, 0, 0, 18, 26, 26, 26, 30, 30, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2th row: [0, 0, 0, 0, 0, 0, 0, 26, 26, 26, 26, 26, 26, 26, 0, 0, 0, 0, 0, 0, 0, 26, 26, 26, 26, 26, 0, 0, 0, 0, 0, 26, 26, 26, 26, 26, 30, 30, 30, 0, 0, 0, 30, 30, 30, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 18, 26, 26, 26, 26, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 16, 0, 0, 18, 26, 26, 26, 30, 30, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3th row: [0, 0, 0, 0, 0, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 0, 0, 0, 0, 26, 26, 26, 26, 26, 15, 0, 0, 0, 0, 26, 26, 26, 26, 26, 30, 30, 30, 30, 0, 0, 30, 30, 30, 30, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 20, 20, 26, 26, 18, 30, 30, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
4th row: [0, 0, 0, 0, 26, 26, 26, 26, 26, 30, 30, 30, 18, 26, 26, 26, 26, 0, 26, 26, 26, 26, 26, 26, 0, 15, 15, 0, 0, 0, 0, 0, 0, 26, 26, 26, 30, 30, 30, 30, 0, 26, 26, 30, 30, 30, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 0, 30, 30, 30, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 19, 20, 20, 26, 26, 18, 30, 30, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
5th row: [0, 0, 0, 0, 26, 26, 26, 26, 26, 30, 30, 30, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 18, 30, 30, 30, 30, 30, 30, 0, 19, 19, 0, 0, 26, 26, 26, 30, 30, 30, 0, 26, 26, 30, 30, 30, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 0, 30, 30, 30, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 19, 0, 0, 19, 19, 19, 19, 0, 0, 0, 0, 0, 30, 30, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
6th row: [0, 0, 0, 0, 26, 26, 26, 26, 26, 30, 30, 30, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 30, 30, 30, 30, 30, 30, 30, 0, 19, 19, 0, 26, 26, 26, 26, 26, 26, 18, 0, 30, 30, 30, 19, 0, 0, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 0, 30, 30, 30, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 20, 0, 0, 20, 20, 19, 19, 18, 0, 26, 26, 26, 30, 30, 30, 30, 30, 30, 0, 0, 0, 0, 0, 0, 0]
7th row: [0, 0, 0, 0, 18, 26, 26, 26, 26, 26, 19, 19, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 30, 30, 30, 30, 30, 30, 30, 10, 10, 0, 0, 26, 26, 26, 26, 26, 26, 26, 0, 30, 30, 30, 19, 30, 30, 30, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 20, 20, 0, 20, 20, 18, 26, 26, 26, 26, 26, 26, 30, 30, 30, 30, 30, 30, 0, 0, 0, 0, 0, 0, 0]
8th row: [0, 0, 0, 26, 26, 26, 26, 26, 26, 18, 0, 26, 26, 26, 0, 26, 26, 26, 26, 26, 26, 26, 30, 30, 30, 30, 30, 26, 19, 10, 10, 0, 19, 26, 26, 26, 26, 26, 26, 26, 0, 30, 30, 30, 0, 30, 30, 30, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 0, 19, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 26, 26, 0, 0, 0, 20, 20, 0, 0, 18, 26, 26, 26, 26, 26, 26, 26, 30, 30, 30, 30, 30, 30, 0, 0, 0, 0, 0, 0, 0]
9th row: [0, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 0, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 0, 0, 19, 19, 26, 26, 26, 26, 26, 26, 26, 30, 30, 30, 0, 30, 30, 30, 26, 26, 26, 26, 26, 19, 26, 26, 26, 26, 26, 19, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 26, 26, 0, 0, 0, 0, 0, 19, 19, 0, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 30, 30, 30, 0, 0, 0, 0, 0, 0, 0]
